"site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential_duplicate_group_manual","duplicate.notes","NEW_RECORD","GROA.site.ID"
3675,"Old Pasture",NA,NA,NA,"NAC","US Virgin Islands","United States",17.74495,-64.774928,"9",NA,"26.4","NAC","NAC","1060",NA,"","NaN","NaN","NaN","Mollisols",NA,NA,"GROA site.id #13967",NA,NA,NA,NA,NA,"Atkinson_2015_lule",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,13967
3676,"Ponta de Pedras",NA,NA,NA,"NAC","Para","Brazil",-1.396389,-48.867222,"",NA,"NAC","NAC","NAC","NAC",NA,"","NaN","NaN","NaN","Oxisol",NA,NA,"GROA site.id #2357",NA,NA,NA,NA,NA,"Moran_2000_eosf",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,2357
3677,"Acahual",NA,NA,NA,"NAC","Veracruz","Mexico",17.291667,-94.583333,"150",NA,"24","NAC","NAC","3640",NA,"NAC","NAC","NAC","NAC","Oxisol; Alfisol",NA,NA,"GROA site.id #278",NA,NA,NA,NA,NA,"Williams-Linera_1983_banc",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,278
3678,"Sarapiqui",NA,NA,NA,"NAC","Heredia","Costa Rica",10.43,-83.98,"120",NA,"26.5","NAC","NAC","3900",NA,"","NaN","NaN","NaN","oxisols",NA,NA,"GROA site.id #39",NA,NA,NA,NA,NA,"Letcher_2009_rrob",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,39
3679,"Sierra de Cayey",NA,NA,NA,"NAC","Puerto Rico","United States",18.016667,-66.083333,"640",NA,"21.5","NAC","NAC","2000",NA,"","NaN","NaN","NaN","Oxisols",NA,NA,"GROA site.id #41",NA,NA,NA,NA,NA,"Marin-Spiotta_2007_lpit; Ostertag_2008_ladi",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,41
3680,"Serra do Conduru",NA,NA,NA,"NAC","Bahia","Brazil",-14.416667,-39.083333,"210",NA,"24","NAC","NAC","2000",NA,"","NaN","NaN","NaN","oxisols",NA,NA,"GROA site.id #140",NA,NA,NA,NA,NA,"Piotto_2011_sdof",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,140
3681,"Agua Salud",NA,NA,NA,"NAC","","Panama",9.216667,-79.783333,"330",NA,"NAC","NAC","NAC","2700",NA,"silty clay, clay","NaN","NaN","NaN","oxisols",NA,NA,"GROA site.id #243",NA,NA,NA,NA,NA,"van Breugel_2013_soes; Batterman_2013_kros",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,243
3682,"Manaus.1",NA,NA,NA,"NAC","Amazonas","Brazil",-3,-60,"135",NA,"26.7","NAC","NAC","2180",NA,"NAC","NAC","NAC","NAC","Oxisols",NA,NA,"GROA site.id #291",NA,NA,NA,NA,NA,"Gehring_2005_rosf",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,291
3683,"Bragantina",NA,NA,NA,"NAC","Para","Brazil",-1.2,-47.258333,"",NA,"25.5","NAC","NAC","2300",NA,"sandy","NaN","NaN","NaN","Oxisols",NA,NA,"GROA site.id #2259",NA,NA,NA,NA,NA,"Johnson_2001_cans",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,2259
3684,"Mbalmayo",NA,NA,NA,"NAC","","Cameroon",3.433333,11.708333,"675",NA,"NAC","NAC","NAC","1750",NA,"","NaN","NaN","NaN","oxisols",NA,NA,"GROA site.id #2377",NA,NA,NA,NA,NA,"Kotto-Same_1997_cdis",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,2377
