"citation.ID","citation.doi","citation.author","citation.year","citation.title","NEW_RECORD"
"Rab_2004_rosp","NAC","Rab",2004,"Recovery of soil physical properties from compaction and soil profile disturbance caused by logging of native forest in Victorian Central Highlands, Australia",TRUE
"Yang_2004_liol","NAC","Yang",2004,"Long-term impacts of land-use change on dynamics of tropical soil carbon and nitrogen pools",TRUE
"Chen_2003_cisc","NAC","Chen",2003,"Change in soil carbon and nutrient storage after human disturbance of a primary Korean pine forest in Northeast China",TRUE
"O'Brien_2003_soso","NAC","O'Brien",2003,"Stability of soil organic matter in Eucalyptus regnans forests and Pinus radiata plantations in south eastern Australia",TRUE
"Frizano_2003_lpis","NAC","Frizano",2003,"Labile phosphorus in soils of forest fallows and primary forest in the Bragantina region, Brazil",TRUE
"Behera_2003_smba","NAC","Behera",2003,"Soil microbial biomass and activity in response to Eucalyptus plantation and natural regeneration on tropical soil",TRUE
"Lawrence_2002_cifb","NAC","Lawrence",2002,"Changes in forest biomass, litter dynamics and soils following shifting cultivation in southern Mexico: An overview",TRUE
"Johnson_2001_cans","NAC","Johnson",2001,"Carbon and nutrient storage in primary and secondary forests in eastern Amazonia",TRUE
"Giese_2000_satp","NAC","Giese",2000,"Spatial and temporal patterns of carbon storage and species richness in three South Carolina coastal plain riparian forests",TRUE
"Wigginton_2000_somf","NAC","Wigginton",2000,"Soil organic matter formation and sequestration across a forested floodplain chronosequence",TRUE
"Scott_2000_cand","NAC","Scott",2000,"Carbon and nitrogen distribution and accumulation in a New Zealand scrubland ecosystem",TRUE
"Rhoades_2000_scda","NAC","Rhoades",2000,"Soil carbon differences among forest, agriculture, and secondary vegetation in lower montane Ecuador",TRUE
"Sommer_2000_csar","NAC","Sommer",2000,"Carbon storage and root penetration in deep soils under small-farmer land-use systems in the Eastern Amazon region, Brazil",TRUE
"de Camargo_1999_scdi","NAC","de Camargo",1999,"Soil carbon dynamics in regrowing forest of eastern Amazonia",TRUE
