site.id,study.id,site.sitename,site.state,site.country,lat_dec,long_dec,elevation,AMT,AMP,soil.classification
4702,11419,Pingquan Hebei ,,China,41,118.6,982,9.3,540,NA
5283,11419,the east of Liaoning ,,China,41.1,118.5,600,6.2,810,NA
8946,11419,Chengde Hebei 1,,China,41.1,117.6,1100,9.3,539,NA
4050,11419,Fengning Hebei,,China,41.2,116.3,1300,NA,NA,NA
4728,11419,Renao Jilin ,,China,41.4,126,730,7.5,881,NA
4384,11419,Longhua Hebei ,,China,41.6,117.2,1260,NA,NA,NA
8949,11419,Chifeng Inner Mongolia,,China,41.6,119.3,1705,6.6,360,NA
4237,11419,Kuche Xinjiang ,,China,41.7,82.9,900,NA,NA,NA
4408,11419,Luntai Xinjiang ,,China,41.7,84.3,925,NA,NA,NA
5394,11419,Xinbin Liaoning ,,China,41.7,125,375,NA,NA,NA
8933,11419,Changbai mountain Jilin 2,,China,41.8,126.9,845,1.5,910,NA
4055,11419,Fusong Jilin,,China,41.9,127.6,850,5.7,900,NA
4148,11419,Huijiang Jilin ,,China,41.9,126.4,550,4.7,831,NA
4714,11419,Qinghou Liaoning ,,China,41.9,125.1,400,NA,NA,NA
5333,11419,Weichang Hebei 2,,China,41.9,117.6,1600,NA,NA,NA
4056,11419,Fuxin Liaoning,,China,42,121.7,350,7.9,545,NA
4203,11419,Jianping Liaoning ,,China,42,119.4,500,NA,NA,NA
5332,11419,Weichang Hebei 1,,China,42,117.3,1269,9.3,539,NA
4374,11419,Liuhe Jilin ,,China,42.2,125.7,600,NA,NA,NA
5244,11419,south-east Inner Mongolia ,,China,42.2,118.1,100,6.2,800,NA
5284,11419,the west of Liaoning ,,China,42.4,120.1,500,5.5,450,NA
5285,11419,the west of Liaoning 1,,China,42.4,122.1,500,5.8,500,NA
5331,11419,Weichang Hebei ,,China,42.4,117.2,1537,9.3,539,NA
8935,11419,Changbai mountain Jilin 4,,China,42.4,128.1,1050,5.4,905,NA
4385,11419,Longjing Jilin ,,China,42.6,129.5,427,5.6,549,NA
8934,11419,Changbai mountain Jilin 3,,China,42.9,127.1,717,3.6,800,NA
4073,11419,Gongliu Xinjiang,,China,43.4,82.2,1900,5.8,100,NA
8932,11419,Changbai mountain Jilin 1,,China,43.5,123.1,900,5.4,430,NA
4435,11419,Mulei Xinjiang ,,China,43.8,90.3,1900,NA,NA,NA
5371,11419,Wulumuqi Xinjiang ,,China,43.8,87.6,2135,NA,NA,NA
4417,11419,Manasi Xinjiang ,,China,44.3,86.2,650,NA,NA,NA
5236,11419,Shulan Jilin ,,China,44.4,126.9,550,4.3,683,NA
4421,11419,Maoer mountain Heilongjiang and Liangshui Heilongjiang ,,China,45.2,127.3,300,2.8,723,NA
4422,11419,Maoershan Heilongjiang ,,China,45.2,127.5,400,2.4,700,NA
8914,11419,Arshaan Inner Mongolia,,China,47.1,119.9,1280,NA,NA,NA
4094,11419,Habahe Xinjiang ,,China,48,86.4,500,NA,NA,NA
3968,11419,Chuoer Inner Mongolia,,China,48.4,121.4,820,NA,NA,NA
4075,11419,Greater Khingan Mountains Inner Mongolia,,China,49.5,122,150,5,370,NA
5369,11419,Wuerqihan Inner Mongolia ,,China,49.5,121.3,846,NA,NA,NA
4238,11419,Kuduer Inner Mongolia ,,China,50,121.6,887,4.9,390,NA
4074,11419,Greater Higgnan Mountains,,China,50.3,120.3,800,-5.4,510,NA
4228,11419,Jiwen Heilongjiang ,,China,50.5,123.2,676,-2,480,NA
4234,11419,Keyihe Inner Mongolia ,,China,50.6,122.4,810,3,400,NA
4008,11419,Deerbuer Inner Mongolia,,China,50.9,121,812,NA,NA,NA
4212,11419,Jinhe Inner Mongolia ,,China,51.3,121.5,785,NA,NA,NA
4433,11419,Moerdaoga Inner Mongolia ,,China,51.3,120.8,737,NA,NA,NA
4156,11419,Huma Heilongjiang ,,China,51.7,126.6,313,-2.1,400,NA
4419,11419,Mangui Inner Mongolia ,,China,52,122.2,660,-1.7,280,NA
4420,11419,Mangui Inner Mongolia 1,,China,52.3,122.2,660,-1.7,280,NA
5269,11419,Tahe Heilongjiang 4,,China,52.3,124.7,555,-4,500,NA
5268,11419,Tahe Heilongjiang 3,,China,52.5,124.5,487,-4,500,NA
5265,11419,Tahe Heilongjiang ,,China,52.6,123.6,670,-4,500,NA
5267,11419,Tahe Heilongjiang 2,,China,52.6,124.2,891,-4,500,NA
5266,11419,Tahe Heilongjiang 1,,China,53.2,123.6,510,-4,500,NA
4241,11419,Ledong Hainan ,,China,18.7,108.8,706,24.1,1517,NA
5358,11419,Wenchang Hainan ,,China,19.22,110.4,15,24.1,1520,NA
5359,11419,Wenchang Hainan 1,,China,19.6,110.7,300,24.1,1517,NA
4095,11419,Haikang Guangdong ,,China,20.7,110,80,NA,NA,NA
4109,11419,Hepu Guangxi 2,,China,21.4,109.4,10,NA,NA,NA
4108,11419,Hepu Guangxi 1,,China,21.6,109.2,50,NA,NA,NA
4034,11419,Fangcheng Guangxi 1,,China,21.7,108.3,10,NA,NA,NA
4110,11419,Hepu Guangxi 3,,China,21.7,109.6,20,22,1320,NA
4721,11419,Qinzhou Guangxi ,,China,21.7,108.5,20,21.5,1700,NA
4723,11419,Qisha Guangxi ,,China,21.7,108.4,10,NA,NA,NA
4035,11419,Fangcheng Guangxi 2,,China,21.8,108.3,10,NA,NA,NA
4107,11419,Hepu Guangxi ,,China,21.8,108.9,40,22,1320,NA
4111,11419,Hepu Guangxi 4,,China,21.8,109.6,68,22,1320,NA
4724,11419,Qisha Guangxi 1,,China,21.8,108.4,10,NA,NA,NA
4616,11419,Ningming Guangxi ,,China,21.85,107.24,440,NA,NA,NA
4786,11419,Shangsi Guangxi 1,,China,21.85,107.71,1160,NA,NA,NA
4722,11419,Qinzhou Guangxi 1,,China,21.9,108.5,15,21.5,1700,NA
4785,11419,Shangsi Guangxi ,,China,21.92,107.65,475,NA,NA,NA
4326,11419,Lingshan Guangxi ,,China,21.98,109.2,60,NA,NA,NA
4787,11419,Shangsi Guangxi 2,,China,21.98,108.1,575,NA,NA,NA
4407,11419,Lufeng Guangdong ,,China,22.9,115.6,400,NA,NA,NA
4106,11419,Heng Guangxi ,,China,22.93,108.84,260,NA,NA,NA
4382,11419,Longan Guangxi ,,China,22.93,107.55,545,NA,NA,NA
8929,11419,Cenxi Guangxi 1,,China,22.93,110.77,342,NA,NA,NA
4155,11419,Huiyang Guangdong ,,China,23,114.3,300,22,2100,NA
4442,11419,Nanning Guangxi ,,China,23,108.31,297,NA,NA,NA
4579,11419,Napo Guangxi 1,,China,23,105.86,1099,NA,NA,NA
8931,11419,Cenxi Guangxi 3,,China,23,111.35,430,NA,NA,NA
4383,11419,Longan Guangxi 1,,China,23.07,107.79,100,NA,NA,NA
4580,11419,Napo Guangxi 2,,China,23.07,105.92,524,NA,NA,NA
8924,11419,Boluo Guangdong,,China,23.1,114.2,389,21.3,1900,NA
8930,11419,Cenxi Guangxi 2,,China,23.1,111.1,400,NA,NA,NA
4712,11419,Puer Yunan ,,China,23.12,100.51,900,15.5,1400,NA
4059,11419,Gangwu Guangxi 2,,China,23.13,111.18,280,NA,NA,NA
4578,11419,Napo Guangxi ,,China,23.13,105.57,1138,NA,NA,NA
4007,11419,Debao Guangxi,,China,23.37,106.98,450,NA,NA,NA
5372,11419,Wuming Guangxi ,,China,23.43,108.48,1270,NA,NA,NA
2357,11440,Ponta de Pedras,Para,Brazil,-1.396389,-48.867222,NA,NA,NA,Oxisol
3905,11447,Guanica State Forest,Puerto Rico,United States,17.966667,-66.866667,125,26,750,ustorthent
3902,11447,Luquillo,Puerto Rico,United States,18.35,-65.916667,325,23,2800,ultisols
3905,11448,Guanica State Forest,Puerto Rico,United States,17.966667,-66.866667,125,26,750,ustorthent
3902,11448,Luquillo,Puerto Rico,United States,18.35,-65.916667,625,23,2800,ultisols
3906,11449,Sabana de Huimanguillo,Tabasco,Mexico,17.826412,-93.670596,NA,26,2410,ultisols
3907,11450,La Selva,,Costa Rica,10.433333,-83.983333,93,24,3800,andept
5577,11453,La Selva,Heredia,Costa Rica,10.433333,-83.983333,NA,NA,NA,NA
5574,11454,SSA (Nippawin),Saskatchewan,Canada,53.883333,-104.883333,NA,0.1,390,NA
5573,11454,SSA-OA (Prince Albert National Park),Saskatchewan,Canada,55.566667,-106.233333,NA,0.1,390,NA
5572,11454,NSA (Thompson),Manitoba,Canada,55.883333,-98.333333,NA,-3.9,542,NA
2304,11465,Bukit Soeharto Education Forest,East Kalimantan,Indonesia,-0.866667,117.016667,55,NA,2000,ultisols
5579,11475,Sabal Forest Reserve,Sarawak,Malaysia,1.05,100.833333,35,NA,4200,NA
5574,11480,SSA (Nippawin),Saskatchewan,Canada,53.883333,-104.883333,NA,0.1,405,Eutrocrept
5573,11480,SSA-OA (Prince Albert National Park),Saskatchewan,Canada,55.566667,-106.233333,NA,0.1,405,Eutrocrept
5572,11480,NSA (Thompson),Manitoba,Canada,55.883333,-98.333333,NA,-3.9,536,Dystrocrept
5575,11481,Tomsk,Siberia,Russia,58,83,NA,NA,501,NA
13973,11494,Jianfengling,Hainan Island,China,18.623056,104.68,900,22.1,2300,Lateritic yellow
13974,11500,Perloja Experimental Station,,Lithuania,54.166667,24.416667,NA,6.2,680,NA
13975,11501,Thompson Research Center,Washington,United States,47,-122,NA,9.4,1440,NA
13976,11503,Craigieburn Range,South Island,New Zealand,-43.25,171.633247,1136,8,1447,Allophanic brown
2046,6701,Sungai Wain,East Kalimantan,Indonesia,-1.06,116.49,40,NA,2400,NA
14006,2244,Lago Guacho,Chubut,Argentina,-43.8,-71.45,1270,NA,NA,NA
14102,12001,JFL01-8901,Hainan,China,18.738117,108.870683,869,19.786,2786.043412,Brick yellow soil
