"","measurement.id","plot.id","site.id","study.id","refor.type","prior","stand.age","variables.name","mean_ha","max_depth","bulk_density"
"235",2424,2232,421,7216,"SNR","PA",20,"SOC",66,10,NA
"236",2427,2233,412,7216,"SNR","PA",22,"SOC",86.2,10,NA
"237",2430,2234,423,7216,"SNR","PA",23,"SOC",76.8,10,NA
"238",2433,2235,424,7216,"SNR","PA",28,"SOC",71.6,10,NA
"239",2436,2236,425,7216,"SNR","PA",33,"SOC",62.7,10,NA
"240",2466,2264,2086,7276,"SNR","SC",2,"SOC",47.9,30,NA
"241",2467,2265,2086,7276,"SNR","SC",2,"SOC",59.9,30,NA
"242",2468,2266,2086,7276,"SNR","SC",3,"SOC",36.7,30,NA
"243",2469,2267,2086,7276,"SNR","SC",3,"SOC",54.1,30,NA
"244",2470,2268,2086,7276,"SNR","SC",4,"SOC",39.7,30,NA
"245",2471,2269,2086,7276,"SNR","SC",5,"SOC",28.3,30,NA
"246",2472,2270,2086,7276,"SNR","SC",5,"SOC",29.7,30,NA
"247",2473,2271,2086,7276,"SNR","SC",6,"SOC",28.7,30,NA
"248",2474,2272,2086,7276,"SNR","SC",6,"SOC",36.3,30,NA
"249",2475,2273,2086,7276,"SNR","SC",6,"SOC",44.7,30,NA
"250",2476,2274,2086,7276,"SNR","SC",6,"SOC",65.4,30,NA
"251",2477,2275,2086,7276,"SNR","SC",9,"SOC",47.7,30,NA
"252",2478,2276,2086,7276,"SNR","SC",9,"SOC",56.3,30,NA
"253",2479,2277,2086,7276,"SNR","SC",10,"SOC",56.5,30,NA
"254",2480,2278,2086,7276,"SNR","SC",13,"SOC",48.3,30,NA
"255",2481,2279,2086,7276,"SNR","SC",19,"SOC",45.3,30,NA
"256",2482,2280,2086,7276,"SNR","SC",19,"SOC",55.9,30,NA
"257",2483,2281,2086,7276,"SNR","SC",19,"SOC",57.5,30,NA
"258",2484,2282,2086,7276,"SNR","SC",25,"SOC",36.3,30,NA
"259",2485,2283,2086,7276,"SNR","SC",25,"SOC",45.5,30,NA
"260",2486,2284,2086,7276,"SNR","SC",25,"SOC",50.9,30,NA
"261",2487,2285,2086,7276,"SNR","SC",25,"SOC",20.5,30,NA
"262",2488,2286,2086,7276,"SNR","SC",25,"SOC",25.9,30,NA
"263",2489,2287,2086,7276,"SNR","SC",25,"SOC",26.9,30,NA
"264",2490,2288,2086,7276,"SNR","SC",25,"SOC",33.3,30,NA
"265",2491,2289,2086,7276,"SNR","SC",25,"SOC",39.5,30,NA
"266",2492,2290,2086,7276,"SNR","SC",25,"SOC",72,30,NA
"267",2493,2291,3741,7280,"SNR","SC",25,"soil_perC",9.7,5,0.9
"268",2499,2292,3741,7280,"SC","SC",0,"soil_perC",9.6,5,1
"269",2547,2294,3501,7582,"SNR","PA",26,"soil_perC",8.32,10,0.37
"270",2549,2295,3501,7582,"PA","PA",0,"soil_perC",8.31,10,0.39
"271",2552,2296,314,7614,"SNR","PA",3,"soil_perC",3.963,15,NA
"272",2553,2297,314,7614,"SNR","PA",8,"soil_perC",4.312,15,NA
"273",2554,2298,314,7614,"SNR","PA",13,"soil_perC",4.705,15,NA
"274",3018,2299,314,8740,"SNR","PA",1,"soil_perC",3.113,15,NA
"275",3024,2301,314,8740,"SNR","PA",5,"soil_perC",4.218,15,NA
"276",3027,2302,314,8740,"SNR","PA",3,"soil_perC",5.016,15,NA
"277",3033,2304,314,8740,"SNR","PA",7,"soil_perC",4.312,15,NA
"278",3042,2307,314,8740,"SNR","PA",13,"soil_perC",4.705,15,NA
"279",2623,2310,238,7698,"C","SC",0,"SOC",58.3,10,NA
"280",2630,2311,238,7698,"C","SC",0,"SOC",59.9,10,NA
"281",2637,2312,238,7698,"C","SC",0,"SOC",46.3,10,NA
"282",2644,2313,238,7698,"C","SC",0,"SOC",38,10,NA
"283",2651,2314,238,7698,"SNR","SC",1,"SOC",56.2,10,NA
"284",2658,2315,238,7698,"SNR","SC",2,"SOC",58.8,10,NA
"285",2665,2316,238,7698,"SNR","SC",8,"SOC",56.3,10,NA
"286",2672,2317,238,7698,"SNR","SC",12.5,"SOC",50,10,NA
"287",2781,2338,3566,8167,"PA","PA",0,"SOC",80.7,50,NA
"288",2782,2339,3566,8167,"SNR","PA",15,"SOC",78,50,NA
"289",2783,2340,3566,8167,"SNR","PA",25,"SOC",74.9,50,NA
"290",2784,2341,3566,8167,"SNR","PA",33,"SOC",71,50,NA
"291",2785,2342,3683,8167,"PA","PA",0,"SOC",101.9,50,NA
"292",2786,2343,3683,8167,"SNR","PA",15,"SOC",76.1,50,NA
"293",2787,2344,3683,8167,"SNR","PA",33,"SOC",57.8,50,NA
"294",2788,2345,3686,8167,"PA","PA",0,"SOC",60.1,50,NA
"295",2789,2346,3686,8167,"SNR","PA",24,"SOC",36.8,50,NA
"296",2790,2347,3695,8167,"PA","PA",0,"SOC",67.7,50,NA
"297",2791,2348,3695,8167,"SNR","PA",14,"SOC",82.9,50,NA
"298",2792,2349,3784,8167,"PA","PA",0,"SOC",103.7,50,NA
"299",2793,2350,3784,8167,"SNR","PA",14,"SOC",71.1,50,NA
"300",2964,2471,2318,8474,"C","SC",0,"soil_perC",12.2,20,0.5
"301",2966,2472,3879,8474,"SNR","SC",15,"soil_perC",15.8,20,0.9
"302",2968,2473,3880,8474,"C","SC",0,"soil_perC",8.5,20,0.6
"303",2970,2474,3881,8474,"SNR","SC",15,"soil_perC",13.4,20,0.7
"304",2972,2475,3882,8474,"C","SC",0,"soil_perC",4.6,20,0.4
"305",2974,2476,3883,8474,"SNR","SC",15,"soil_perC",12.7,20,0.5
"306",2982,2478,3582,8581,"SC","SC",0,"SOC",324.8,15,NA
"307",2993,2479,3582,8581,"SNR","SC",7,"SOC",119.3,15,NA
"308",3048,2489,286,8742,"SNR","PA",19,"soil_perC",4.38,10,1.25
"309",3052,2490,286,8742,"SNR","PA",19,"soil_perC",3.89,10,1.25
"310",3056,2491,286,8742,"PA","PA",0,"soil_perC",3.84,10,1.25
"311",3060,2492,3802,8782,"C","C",0,"SOC",88,7,NA
"312",3063,2493,3802,8782,"SNR","C",10,"SOC",110,7,NA
"313",3066,2496,2001,8847,"PA","PA",0,"SOC",47.7,5,NA
"314",3070,2497,2002,8847,"SNR","PA",11,"SOC",33.1,5,NA
"315",3074,2498,2003,8847,"SNR","C",3,"SOC",27.1,5,NA
"316",3078,2502,2009,8847,"PA","PA",0,"SOC",36.9,5,NA
"317",13497,2503,2010,8847,"SNR","C",3,"SOC",29.9,5,NA
"318",3097,2507,2117,8873,"H","H",0,"SOM_per",24.6,10,0.709
"319",3094,2507,2117,8873,"SNR","H",10,"SOM_per",48.8,10,0.709
"320",3101,2508,2117,8873,"H","H",0,"SOM_per",18,10,0.787
"321",3098,2508,2117,8873,"SNR","H",10,"SOM_per",46.3,10,0.787
"322",3105,2509,2117,8873,"H","H",0,"SOM_per",15.5,10,0.961
"323",3102,2509,2117,8873,"SNR","H",10,"SOM_per",37.3,10,0.961
"324",3109,2510,2117,8873,"H","H",0,"SOM_per",10,10,1.189
"325",3106,2510,2117,8873,"SNR","H",10,"SOM_per",30.9,10,1.189
"326",3117,2516,3659,8964,"SNR","SC",20,"SOC",150.2,20,NA
"327",3120,2517,3659,8964,"SNR","SC",9,"SOC",116,20,NA
"328",3123,2518,3659,8964,"SC","SC",0,"SOC",152.2,20,NA
"329",3126,2519,3810,8989,"SNR","H",3,"soil_perC",2.2389,10,0.5
"330",3129,2520,3810,8989,"SNR","H",20,"soil_perC",2.0773,10,0.6
"331",3132,2521,3810,8989,"H","H",0,"soil_perC",1.2581,10,0.8
"332",3135,2522,3810,8989,"H","H",0,"soil_perC",0.83,10,1.1
"333",3150,2523,3594,9017,"SNR","H",10,"SOC",219.3,50,NA
"334",3151,2524,3594,9017,"SNR","H",11,"SOC",288,50,NA
"335",3152,2525,3594,9017,"SNR","H",12,"SOC",328.1,50,NA
"336",3153,2526,3594,9017,"SNR","H",25,"SOC",223.6,50,NA
"337",3155,2527,3594,9017,"SNR","H",26,"SOC",236.2,50,NA
"338",13453,2528,3594,9017,"SNR","H",26,"SOC",283.9,50,NA
"339",3204,2548,2259,9199,"SNR","SC",10,"soil_perC",4.54,5,1.24
"340",3207,2549,2259,9199,"SNR","SC",20,"soil_perC",3.42,5,1.28
"341",3264,2591,293,9362,"SNR","SC",3,"SOM_per",11,15,NA
"342",3266,2592,293,9362,"SNR","SC",8,"SOM_per",10.1,15,NA
"343",3268,2593,293,9362,"SNR","SC",19,"SOM_per",12.3,15,NA
"344",3398,2667,2259,9643,"SNR","SC",10,"SOC",33,5,NA
"345",3402,2668,2259,9643,"SNR","SC",20,"SOC",27.1,5,NA
"346",3448,2682,3781,9814,"SNR","D",7,"SOC",155.6,60,NA
"347",3450,2683,3781,9814,"SNR","D",11,"SOC",232.8,60,NA
"348",3488,2718,2145,9835,"SNR","F",25,"SOC",83.9,10,NA
"349",3495,2723,2112,9892,"SNR","C/PA",17.5,"soil_perC",23.18,15,0.68
"350",3502,2724,2112,9892,"SNR","C/PA",7.5,"soil_perC",18.72,15,1.05
"351",3509,2725,2112,9892,"C","C",0,"soil_perC",16.96,15,0.86
"352",3515,2726,2112,9892,"PA","PA",0,"soil_perC",20.36,15,0.76
"353",3521,2727,2112,9892,"PA","PA",0,"soil_perC",18.51,15,0.88
"354",3540,2741,3774,9956,"SNR","SC",12,"SOC",166,40,NA
"355",3548,2742,3774,9956,"SNR","SC",5,"SOC",168,40,NA
"356",3556,2743,3774,9956,"SNR","SC",1,"SOC",150,40,NA
"357",3573,2744,3774,9956,"SC","SC",0,"SOC",174,40,NA
"358",3582,2745,3774,9956,"SC","SC",0,"SOC",164,40,NA
"359",3564,2746,3774,9956,"SC","SC",0,"SOC",185,40,NA
"360",3603,2747,2261,10007,"SNR","C/PA",8,"SOC",242,2.5,NA
