study.id,citations.author,citations.year,Code2,Count,citations.journal,citations.title
6521,Yan,2009,yes,1,PLANT AND SOIL 320:181-194,Temporal patterns of net soil N mineralization and nitrification through secondary succession in the subtropical forests of eastern China
6559,Marin-Spiotta,2009,yes,1,GLOBAL CHANGE BIOLOGY 15:1584-1597,Soil organic matter dynamics during 80 years of reforestation of tropical pastures
6588,Vargas,2009,yes,1,BIOTROPICA 41:302-311  ,Effects of Vegetation Thinning on Above- and Belowground Carbon in a Seasonally Dry Tropical Forest in Mexico
6701,van der Kamp,2009,yes,1,GEODERMA 149:76-83  ,"Soil carbon changes upon secondary succession in Imperata grasslands (East Kalimantan, Indonesia)"
6803,Tang,2009,yes,1,GLOBAL CHANGE BIOLOGY 15:145-155,Soil carbon fluxes and stocks in a Great Lakes forest chronosequence
6996,Ostertag,2008,yes,1,ECOSYSTEMS 11:701-714  ,Litterfall and decomposition in relation to soil carbon pools along a secondary forest chronosequence in Puerto Rico
7005,Tian,2008,yes,1,JOURNAL OF FOREST RESEARCH 13:205-214,"Microbial biomass and activity along a natural pH gradient in forest soils in a karst region of the upper Yangtze River, China"
7212,Zheng,2008,yes,1,FOREST ECOLOGY AND MANAGEMENT 255:1113-1121,Variation of carbon storage by different reforestation types in the hilly red soil region of southern China
7216,Schedlbauer,2008,yes,1,FOREST ECOLOGY AND MANAGEMENT 255:1326-1335,Soil carbon dynamics in a chronosequence of secondary forests in northeastern Costa Rica
7276,Williams,2008,yes,1,FOREST ECOLOGY AND MANAGEMENT254:145-155,Carbon sequestration and biodiversity of re-growing miombo woodlands in Mozambique
7280,Yamashita,2008,yes,1,FOREST ECOLOGY AND MANAGEMENT254:362-370,"Soil changes induced by Acacia mangium plantation establishment: Comparison with secondary forest and Imperata cylindrica grassland soils in South Sumatra, Indonesia"
7333,Vasconcelos,2008,yes,1,JOURNAL OF TROPICAL ECOLOGY 24:27-38,"Effects of seasonality, litter removal and dry-season irrigation on litterfall quantity and quality in eastern Amazonian forest regrowth, Brazil"
7582,Ritter,2007,yes,1,PLANT AND SOIL 295:239-251,"Carbon, nitrogen and phosphorus in volcanic soils following afforestation with native birch (Betula pubescens) and introduced larch (Larix sibirica) in Iceland"
7614,Feldpausch,2007,yes,1,GLOBAL CHANGE BIOLOGY 13:967-979,Secondary forest growth deviation from chronosequence predictions in central Amazonia
7698,Tschakert,2007,yes,1,ECOLOGICAL ECONOMICS 60:807-820 ,"Indigenous livelihoods, slash-and-burn agriculture, and carbon stocks in Eastern Panama"
7727,Armolaitis,2007,yes,1,BALTIC FORESTRY 13:169-178 ,Carbon sequestration and nitrogen status in Arenosols following afforestation or following abandonment of arable land
8167,Thuille,2006,yes,1,GLOBAL CHANGE BIOLOGY 12:325-342,Carbon dynamics in successional and afforested spruce stands in Thuringia and the Alps
8304,Blouin,2005,yes,1,CANADIAN JOURNAL OF SOILSCIENCE 85:681-691,Mechanical disturbance impacts on soil properties and lodgepole pine growth in British Columbia's central interior
8429,Zheng,2005,yes,1,LAND DEGRADATION & DEVELOPMENT 16:387-396,How different reforestation approaches affect red soil properties in southern China
8474,Bautista-Cruz,2005,yes,1,SOIL SCIENCE SOCIETY OFAMERICAJOURNAL 69:906-914,Soil changes during secondary succession in a tropical montane cloud forest area
8553,Li,2005,yes,1,GLOBAL CHANGE BIOLOGY 11:239-248,Comparing soil organic carbon dynamics in plantation and secondary forest in wet tropics in Puerto Rico
8581,Monreal,2005,yes,1,CANADIAN JOURNAL OF SOILSCIENCE 85:523-530,A method for measuring above- and below-ground C stocks in hillside landscapes
8740,Feldpausch,2004,yes,1,ECOLOGICAL APPLICATIONS 14:S164-S176 ,Carbon and nutrient accumulation in secondary forests regenerating on pastures in central Amazonia
8742,Markewitz,2004,yes,1,ECOLOGICAL APPLICATIONS 14:S177-S199 ,Nutrient loss and redistribution after forest clearing on a highly weathered soil in Amazonia
8782,DeGryze,2004,yes,1,GLOBAL CHANGE BIOLOGY 10:1120-1132,Soil organic carbon pool changes following land-use conversions
8847,Salimon,2004,yes,1,GLOBAL CHANGE BIOLOGY 10:833-843,CO2 flux from soil in pastures and forests in southwestern Amazonia
8872,Kelliher,2004,yes,1,FOREST ECOLOGY AND MANAGEMENT 191:201-213,Limitations to carbon mineralization in litter and mineral soil of young and old ponderosa pine forests
8873,Rab,2004,yes,1,FOREST ECOLOGY AND MANAGEMENT191:329-340,"Recovery of soil physical properties from compaction and soil profile disturbance caused by logging of native forest in Victorian Central Highlands, Australia"
8964,Yang,2004,yes,1,JOURNAL OF ENVIRONMENTAL SCIENCES 16:256-261,Long-term impacts of land-use change on dynamics of tropical soil carbon and nitrogen pools
8989,Chen,2003,yes,1,FOREST ECOLOGY AND MANAGEMENT186:197-206,Change in soil carbon and nutrient storage after human disturbance of a primary Korean pine forest in Northeast China
9017,O'Brien,2003,yes,1,FOREST ECOLOGY AND MANAGEMENT 185:249-261,Stability of soil organic matter in Eucalyptus regnans forests and Pinus radiata plantations in south eastern Australia
9199,Frizano,2003,yes,1,BIOTROPICA 35:2-11  ,"Labile phosphorus in soils of forest fallows and primary forest in the Bragantina region, Brazil"
9210,Behera,2003,yes,1,FOREST ECOLOGY AND MANAGEMENT 174:1-11,Soil microbial biomass and activity in response to Eucalyptus plantation and natural regeneration on tropical soil
9362,Lawrence,2002,yes,1,INTERCIENCIA 27:400-408,"Changes in forest biomass, litter dynamics and soils following shifting cultivation in southern Mexico: An overview"
9643,Johnson,2001,yes,1,FOREST ECOLOGY AND MANAGEMENT 147:245-252,Carbon and nutrient storage in primary and secondary forests in eastern Amazonia
9813,Giese,2000,yes,1,ECOLOGICAL ENGINEERING 15:S157-S170 ,Spatial and temporal patterns of carbon storage and species richness in three South Carolina coastal plain riparian forests
9814,Wigginton,2000,yes,1,ECOLOGICAL ENGINEERING 15:S141-S155 ,Soil organic matter formation and sequestration across a forested floodplain chronosequence
