measurement.id,plot.id,site.id,study.id,refor.type,prior,stand.age,n,sub_n,plot.size,variables.name,mean_ha,covar_1,coV1_value,covar_2,coV2_value,covar_3,coV3_value,ref
836,1710,2302,1394,SNR,H,20,14,5,0.04,soil_perC,8.62,max_depth,20,min_depth,0,,,site_chrono
837,1711,2302,1394,SNR,H,35,14,5,0.04,soil_perC,6.9,max_depth,20,min_depth,0,,,site_chrono
863,1725,2077,1599,C,C,0,1,,,SOC,4.8,max_depth,5,min_depth,0,,,study_ref
864,1725,2077,1599,C,C,0,1,,,SOC,4.8,max_depth,10,min_depth,5,,,study_ref
865,1725,2077,1599,C,C,0,1,,,SOC,4.9,max_depth,20,min_depth,10,,,study_ref
866,1725,2077,1599,C,C,0,1,,,SOC,6,max_depth,40,min_depth,20,,,study_ref
867,1725,2077,1599,C,C,0,1,,,SOC,9.6,max_depth,70,min_depth,40,,,study_ref
868,1725,2077,1599,C,C,0,1,,,SOC,9.5,max_depth,100,min_depth,70,,,study_ref
869,1726,3864,1599,SNR,C,6,1,,,SOC,7.5,max_depth,5,min_depth,0,,,study_ref
870,1726,3864,1599,SNR,C,6,1,,,SOC,6.1,max_depth,10,min_depth,5,,,study_ref
871,1726,3864,1599,SNR,C,6,1,,,SOC,6.2,max_depth,20,min_depth,10,,,study_ref
872,1726,3864,1599,SNR,C,6,1,,,SOC,8.2,max_depth,40,min_depth,20,,,study_ref
873,1726,3864,1599,SNR,C,6,1,,,SOC,10.4,max_depth,70,min_depth,40,,,study_ref
874,1726,3864,1599,SNR,C,6,1,,,SOC,10,max_depth,100,min_depth,70,,,study_ref
875,1727,3865,1599,SNR,C,16,2,3,0.0001,SOC,13.2,max_depth,5,min_depth,0,,,study_ref
876,1727,3865,1599,SNR,C,16,2,3,0.0001,SOC,8.9,max_depth,10,min_depth,5,,,study_ref
877,1727,3865,1599,SNR,C,16,2,3,0.0001,SOC,9.9,max_depth,20,min_depth,10,,,study_ref
878,1727,3865,1599,SNR,C,16,2,3,0.0001,SOC,10.1,max_depth,40,min_depth,20,,,study_ref
879,1727,3865,1599,SNR,C,16,2,3,0.0001,SOC,10.6,max_depth,70,min_depth,40,,,study_ref
880,1727,3865,1599,SNR,C,16,2,3,0.0001,SOC,10.9,max_depth,100,min_depth,70,,,study_ref
881,1728,3866,1599,SNR,C,45,2,3,0.0025,SOC,12.4,max_depth,5,min_depth,0,,,study_ref
882,1728,3866,1599,SNR,C,45,2,3,0.0025,SOC,8.3,max_depth,10,min_depth,5,,,study_ref
883,1728,3866,1599,SNR,C,45,2,3,0.0025,SOC,9.8,max_depth,20,min_depth,10,,,study_ref
884,1728,3866,1599,SNR,C,45,2,3,0.0025,SOC,10.5,max_depth,40,min_depth,20,,,study_ref
885,1728,3866,1599,SNR,C,45,2,3,0.0025,SOC,10.4,max_depth,70,min_depth,40,,,study_ref
886,1728,3866,1599,SNR,C,45,2,3,0.0025,SOC,10.7,max_depth,100,min_depth,70,,,study_ref
887,1729,3867,1599,SNR,C,100,2,3,0.0025,SOC,9.3,max_depth,5,min_depth,0,,,study_ref
888,1729,3867,1599,SNR,C,100,2,3,0.0025,SOC,7.8,max_depth,10,min_depth,5,,,study_ref
889,1729,3867,1599,SNR,C,100,2,3,0.0025,SOC,10.8,max_depth,20,min_depth,10,,,study_ref
890,1729,3867,1599,SNR,C,100,2,3,0.0025,SOC,11.2,max_depth,40,min_depth,20,,,study_ref
891,1729,3867,1599,SNR,C,100,2,3,0.0025,SOC,12,max_depth,70,min_depth,40,,,study_ref
892,1729,3867,1599,SNR,C,100,2,3,0.0025,SOC,10.7,max_depth,100,min_depth,70,,,study_ref
899,1731,2110,1636,SNR,PA,30,5,5,0.04,SOC,73.9,max_depth,20,min_depth,0,,,no_comp
902,1732,2110,1636,SNR,PA,30,5,5,0.04,SOC,104.4,max_depth,20,min_depth,0,,,no_comp
60,1734,2405,246,SNR,SC,2,1,20,0.04,soil_perC,7,max_depth,5,min_depth,0,,,site_ref
88,1734,2405,246,SNR,SC,2,1,20,0.04,soil_perC,5.1,max_depth,15,min_depth,5,,,site_ref
61,1735,2405,246,SNR,SC,2,1,20,0.04,soil_perC,5.1,max_depth,5,min_depth,0,,,site_ref
89,1735,2405,246,SNR,SC,2,1,20,0.04,soil_perC,3.3,max_depth,15,min_depth,5,,,site_ref
62,1736,2405,246,SNR,SC,2,1,20,0.04,soil_perC,6.4,max_depth,5,min_depth,0,,,site_ref
90,1736,2405,246,SNR,SC,2,1,20,0.04,soil_perC,4.1,max_depth,15,min_depth,5,,,site_ref
64,1737,2405,246,SNR,SC,3,1,20,0.04,soil_perC,4.2,max_depth,5,min_depth,0,,,site_ref
92,1737,2405,246,SNR,SC,3,1,20,0.04,soil_perC,2.8,max_depth,15,min_depth,5,,,site_ref
65,1738,2405,246,SNR,SC,3,1,20,0.04,soil_perC,7.3,max_depth,5,min_depth,0,,,site_ref
93,1738,2405,246,SNR,SC,3,1,20,0.04,soil_perC,4.4,max_depth,15,min_depth,5,,,site_ref
66,1739,2405,246,SNR,SC,3,1,20,0.04,soil_perC,4.2,max_depth,5,min_depth,0,,,site_ref
94,1739,2405,246,SNR,SC,3,1,20,0.04,soil_perC,3,max_depth,15,min_depth,5,,,site_ref
67,1740,2405,246,SNR,SC,3,1,20,0.04,soil_perC,6.9,max_depth,5,min_depth,0,,,site_ref
95,1740,2405,246,SNR,SC,3,1,20,0.04,soil_perC,3.6,max_depth,15,min_depth,5,,,site_ref
71,1741,2405,246,SNR,SC,6,1,20,0.04,soil_perC,5.4,max_depth,5,min_depth,0,,,site_ref
99,1741,2405,246,SNR,SC,6,1,20,0.04,soil_perC,2.9,max_depth,15,min_depth,5,,,site_ref
72,1742,2405,246,SNR,SC,6,1,20,0.04,soil_perC,6.2,max_depth,5,min_depth,0,,,site_ref
100,1742,2405,246,SNR,SC,6,1,20,0.04,soil_perC,3.2,max_depth,15,min_depth,5,,,site_ref
77,1743,2405,246,SNR,SC,15,1,20,0.04,soil_perC,7.7,max_depth,5,min_depth,0,,,site_ref
105,1743,2405,246,SNR,SC,15,1,20,0.04,soil_perC,2.5,max_depth,15,min_depth,5,,,site_ref
80,1744,2405,246,SNR,SC,30,1,20,0.04,soil_perC,3.9,max_depth,5,min_depth,0,,,site_ref
108,1744,2405,246,SNR,SC,30,1,20,0.04,soil_perC,1.7,max_depth,15,min_depth,5,,,site_ref
83,1745,2405,246,SNR,SC,55,1,20,0.04,soil_perC,3.4,max_depth,5,min_depth,0,,,site_ref
111,1745,2405,246,SNR,SC,55,1,20,0.04,soil_perC,5.9,max_depth,15,min_depth,5,,,site_ref
932,1748,385,1879,SNR,C,11,6,4,0.06,soil_perC,3.05,max_depth,15,min_depth,0,,,site_chrono
933,1749,385,1879,SNR,C,21,9,4,0.06,soil_perC,6.34,max_depth,15,min_depth,0,,,site_chrono
934,1750,385,1879,SNR,C,51,9,4,0.06,soil_perC,6.33,max_depth,15,min_depth,0,,,site_chrono
1044,1768,3541,2236,SNR,PA,25,4,5,0.08,soil_perC,4.16,max_depth,5,min_depth,0,bulk_density,1.1,study_chrono
