checked,study.id,IPCC ,Soil,citations.author,citations.year,Code2,Count,citations.journal,citations.title,Entered,citations.notes,data remaining,ForCdb,Poorter,Bonner
SCC,2963,0,1,Kurth,2014,yes,1,SOIL SCIENCE SOCIETY OF AMERICA JOURNAL 78:624-633,Fifteen-Year Patterns of Soil Carbon and Nitrogen Following Biomass Harvesting,3/29/2018,soil only,,,,
SCC,3017,2,1,Broadbent,2014,yes,1,PLOS ONE 9:e86042,Integrating Stand and Soil Properties to Understand Foliar Nutrient Dynamics during Forest Succession Following Slash-and-Burn Agriculture in the Bolivian Amazon,7/11/2017,"Also in Anderson-Teixeira 2016 but took Poorter data; Biomass estimates included live and dead, but Poorter only extracted live and sticking with most recent re-analysis",,1,1,
SCC,3037,1,0,Bu,2014,yes,1,ACTA OECOLOGICA 55:1-7  ,Field observed relationships between biodiversity and ecosystem functioning during secondary succession in a tropical lowland rainforest,3/30/2018,,,,,
NA,3120,0,0,Wei,2014,yes,1,PHYTON-INTERNATIONAL JOURNAL OF EXPERIMENTALBOTANY83:213-223,"The nutrient accumulation pattern and cycling in natural secondary forests in North China. A case study from the Caijiachuan watershed, Shanxi Province",3/30/2018,link is no longer available so was unable to double check entry; http://www.scielo.org.ar/img/revistas/phyton/v83n2/html/v83n2a01.htm,,,,
SCC,3217,0,1,Deng,2014,yes,1,SOIL RESEARCH 52:262-270 ,"Long-term natural succession improves nitrogen storage capacity of soil on the Loess Plateau, China",3/30/2018,soil only may be duplicative,,,,
SCC,3452,2,1,Batterman,2013,yes,1,NATURE 502:224-+  ,Key role of symbiotic dinitrogen fixation in tropical forest secondary succession,3/30/2018,,,,,
SCC,3504,0,1,Kalinina,2013,yes,1,GEODERMA 207:221-233  ,"Self-restoration of post-agrogenic Albeluvisols: Soil development, carbon stocks and dynamics of carbon pools",4/25/2018,,,,,
SCC,3510,1,0,Kalaba,2013,yes,1,FOREST ECOLOGY AND MANAGEMENT 304:99-109,"Floristic composition, species diversity and carbon storage in charcoal and agriculture fallows and management implications in Miombo woodlands of Zambia",3/30/2018,,,,,
SL,3514,1,0,Chan,2013,yes,1,FOREST ECOLOGY AND MANAGEMENT304:427-436,"Establishment of allometric models and estimation of biomass recovery of swidden cultivation fallows in mixed deciduous forests of the Bago Mountains, Myanmar",3/30/2018,Understory biomass includes bamboo trees,,1,,
SCC,3586,2,0,Pena,2013,yes,1,FOREST ECOLOGY AND MANAGEMENT 302:54-61,"Patterns of stocks of aboveground tree biomass, dynamics, and their determinants in secondary Andean forests",3/30/2018,,,,,
SCC,3646,0,1,Wei,2013,yes,1,FOREST ECOLOGY AND MANAGEMENT 300:60-67,Restoring ecosystem carbon sequestration through afforestation: A sub-tropic restoration case study,3/30/2018,,ITP ,,,
