"FROM","site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential.duplicates.manual","duplicate.notes","NEW_RECORD","OLD_RECORD"
"GROA",2537,"Luciano",NA,NA,NA,"NAC","Puntarenas","Costa Rica",9.7713,-84.614,"101",NA,"27.3","NAC","NAC","3100",NA,"","NaN","NaN","NaN"," Ultisol  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13926",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1138,"Luquillo",NA,NA,"Luquillo","NAC","Puerto Rico","United States of America",18.32,-65.82,"170",NA,"23","NAC","NAC","1100",NA,"clay loam","NAC","NAC","NAC","NAC",NA,"NAC",NA,"81","Neotropics","Am","Tropical rainforest",358,"Luyssaert_2007_cbob","Lugo_1992_cott",NA,NA,"Luyssaert_2007_cbob",NA,38,"1","NAC",NA,"",FALSE,FALSE
"GROA",2483,"Luquillo",NA,NA,NA,"NAC","Puerto Rico","United States",18.34,-65.76,"305",NA,"NAC","NAC","NAC","2660",NA,"","NaN","NaN","NaN","ultisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 10",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"GROA",4315,"Luquillo",NA,NA,NA,"NAC","Puerto Rico","United States",18.35,-65.916667,"325",NA,"23","NAC","NAC","2800",NA,"","NaN","NaN","NaN","ultisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 3902",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"GROA",4317,"Luquillo",NA,NA,NA,"NAC","Puerto Rico","United States",18.35,-65.916667,"625",NA,"23","NAC","NAC","2800",NA,"","NaN","NaN","NaN","ultisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 3902",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1142,"Luquillo Experimental Forest",NA,NA,"Luquillo","El Verde","Puerto Rico","United States of America",18.3,-65.8,"500","lat-long estimated from map in paper and google maps; more precise value may be possible. See Luyssaert?","22.3","NAC","NAC","3760",NA,"clay","NAC","NAC","NAC","NAC",NA,"NAC","Secondary tabonuco forest","81","Neotropics","Am","Tropical mountain system",356,"Crow_1980_arca",NA,NA,NA,"Anderson_2006_toba",NA,38,"1,2","NAC",NA,"",FALSE,FALSE
"GROA",2422,"Luquillo Experimental Forest",NA,NA,NA,"NAC","Puerto Rico","United States",18.3,-65.833333,"400",NA,"22.3","NAC","NAC","3920",NA,"25.41.35","NaN","NaN","NaN","ultisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 2414",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"GROA",2514,"Luquillo Experimental Forest",NA,NA,NA,"NAC","Puerto Rico","United States",18.3,-65.847222,"284",NA,"22.3","NAC","NAC","3523",NA,"25.41.35","NaN","NaN","NaN","ultisols/oxisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 100",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"GROA",2515,"Luquillo Experimental Forest",NA,NA,NA,"NAC","Puerto Rico","United States",18.316667,-65.816667,"350",NA,"NAC","NAC","NAC","NAC",NA,"25.41.35","NaN","NaN","NaN","ultisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 3817",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"GROA",2588,"Luquillo Experimental Forest",NA,NA,NA,"NAC","Puerto Rico","United States",18.3,-65.833333,"500",NA,"22.3","NAC","NAC","3760",NA,"25.41.35","NaN","NaN","NaN","ultisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 2414",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",2196,"Magog",NA,NA,NA,"NAC","Quebec","Canada",45.255988,-72.152457,"220",NA,"NAC","NAC","NAC","NAC",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13978",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,FALSE
"GROA",2256,"Magog",NA,NA,NA,"NAC","Quebec","Canada",45.255988,-72.152457,"220",NA,"NAC","NAC","NAC","NAC",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13978",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1159,"Mal Uso",NA,NA,"","NAC","Guanacaste","Costa Rica",10.847,-85.6143,"307",NA,"25.8","NAC","NAC","1530",NA,"NAC","NAC","NAC","NAC","Entisol",NA,"NAC",NA,"69","Neotropics","Aw","Tropical moist forest",1263,"Cifuentes-Jara_2008_abae",NA,NA,NA,"Bonner_2013_amgc",NA,34,"6","NAC",NA,"",FALSE,FALSE
"GROA",2579,"Mal Uso",NA,NA,NA,"NAC","Guanacaste","Costa Rica",10.847,-85.6143,"307",NA,"25.8","NAC","NAC","1530",NA,"","NaN","NaN","NaN"," Entisol  ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 13904",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1161,"Mamiraua Sustainable Development Reserve",NA,NA,"","Manaus","Amazonas","Brazil",-2.799934,-64.883583,"NAC",NA,"NAC","NAC","NAC","3000",NA,"NAC","NAC","NAC","NAC","NAC",NA,"VARZEA FLOODPLAIN",NA,"496","Neotropics","Af","Tropical rainforest",93,"Sch_ngart_2010_banp",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2613,"Mamiraua Sustainable Development Reserve",NA,NA,NA,"NAC","Amazonas","Brazil",-2.799934,-64.88,"NAC",NA,"26.9","NAC","NAC","3000",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 307",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1168,"Manaus BR-174",NA,NA,"","Manaus","Amazonas","Brazil",-2.45,-60.05,"100",NA,"NAC","NAC","NAC","NAC","mild dry season Aug-Oct","clay","NAC","NAC","NAC","Oxisol","plateau soil is classified as dystrophic, isohyperthermic, clayey kaolinitic, Hapludox. Slope soils are Ultisols and valley bottoms are Spodosols","NAC",NA,"68","Neotropics","Af","Tropical rainforest",103,"Feldpausch_2004_cana",NA,NA,NA,NA,NA,0,"0",NA,NA,"",FALSE,FALSE
"GROA",2388,"Manaus BR-174",NA,NA,NA,"NAC","Amazonas","Brazil",-2.45,-60.05,"100",NA,"26.7","NAC","NAC","2200",NA,"NAC","NAC","NAC","NAC","Ferrasols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 314",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"GROA",2428,"Manaus BR-174",NA,NA,NA,"NAC","Amazonas","Brazil",-2.45,-60.05,"100",NA,"26.7","NAC","NAC","2200",NA,"NAC","NAC","NAC","NAC","Oxisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 314",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",2129,"Maquipucuna",NA,NA,NA,"NAC","","Ecuador",0.083333,-78.616667,"1200",NA,"18","NAC","NAC","3198",NA,"","NaN","NaN","NaN","Andisols",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 2112",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,TRUE,FALSE
"GROA",2491,"Maquipucuna",NA,NA,NA,"NAC","","Ecuador",0.083333,-78.616667,"1400",NA,"NAC","NAC","NAC","3200",NA,"","NaN","NaN","NaN","Andic humitropepts",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 2112",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
"ForC",1224,"Mekrijarvi Research Station",NA,NA,"","NAC","North Karelia","Finland",62.783333,30.966667,"145",NA,"1.4","NAC","NAC","690",NA,"NAC","NAC","NAC","NAC","Podzol",NA,NA,NA,"325","Palearctic","Dfc","Boreal coniferous forest",NA,"Helmisaari_1995_ncip",NA,NA,NA,"Anderson_2006_toba",NA,154,"1",NA,NA,"",FALSE,FALSE
"GROA",2624,"Mekrijarvi Research Station",NA,NA,NA,"NAC","North Carelia","Finland",62.783333,30.966667,"145",NA,"1.4","NAC","NAC","690",NA,"","NaN","NaN","NaN","Podzol",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"GROA site.ID = 3903",0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",NA,NA,NA,NA,NA,FALSE,TRUE
