"plot.id","sites.sitename","plot.name","plot.area","establishment.ID","year.establishment.oldest.trees","regrowth.ID","regrowth.type","regrowth.year","dist.mrs.ID","distmrs.type","mortality","distmrs.yr","dist.additional.mrs.ID","prior.history.ID","dist1.ID","dist1.type","dist1.mort","dist1.year","dist2.ID","dist2.type","dist2.mort","dist2.year","additional.dist.ID","management.CO2.ID","management.temperature.ID","management.hydrology.ID","management.nutrients.ID","management.biota.ID","management.other.ID"
1246,"Kooraste 1","Forest recovery following agricultural abandonment","NAC",1246.03,"1991",1246.02,"Initiation of post-disturbance cohort (natural)","1991",1246.01,"Cultivation","100","NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1248,"Kraven S.A.","Premontane Rain Forest recovery following pasture abandonment","NAC",1248.01,"NI",1248.02,"Initiation of post-disturbance cohort (natural)","NI",1248.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1301,"Lapas","Premontane Wet, Transition to Basal, Pacific Forest recovery following pasture abandonment","NAC",1301.03,"NI",1301.02,"Initiation of post-disturbance cohort (natural)","NI",1301.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1382,"Luciano","Premontane Wet, Transition to Basal, Pacific Forest recovery following pasture abandonment","NAC",1382.03,"NI",1382.02,"Initiation of post-disturbance cohort (natural)","NI",1382.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1461,"Luquillo Experimental Forest","1932 hurricane recovery","NAC",0,"NAC",0,"NAC","NAC",0,"NAC","NAC","NAC",0,0,1461.01,"Major storm","<100%","1932",0,NA,NA,NA,0,0,0,0,0,0,0
1482,"Mal Uso","Tropical Dry Forest recovery following pasture abandonment","NAC",1482.03,"NI",1482.02,"Initiation of post-disturbance cohort (natural)","NI",1482.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1560,"Mekrijarvi Research Station","naturally regenerated Pinus sylvestris stands-mature","NAC",1560.01,"1885",1560.02,"Initiation of post-disturbance cohort (natural)","1885",0,"NAC","NAC","NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1561,"Mekrijarvi Research Station","naturally regenerated Pinus sylvestris stands-pole","NAC",1561.01,"1950",1561.02,"Initiation of post-disturbance cohort (natural)","1950",0,"NAC","NAC","NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1562,"Mekrijarvi Research Station","naturally regenerated Pinus sylvestris stands-sapling","NAC",1562.01,"1970",1562.02,"Initiation of post-disturbance cohort (natural)","1970",0,"NAC","NAC","NAC",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1597,"Milpa","Premontane Rain Forest recovery following pasture abandonment","NAC",1597.03,"NI",1597.02,"Initiation of post-disturbance cohort (natural)","NI",1597.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1649,"Naranjo","Tropical Dry Forest recovery following pasture abandonment","NAC",1649.03,"NI",1649.02,"Initiation of post-disturbance cohort (natural)","NI",1649.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1663,"Niah River Chronosequence III","Forest recovery following shifting cultivation","NAC",0,"NAC",1663.02,"Initiation of post-disturbance cohort (natural)","NI",1663.01,"Shifting cultivation","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1791,"Palma Real","Tropical Wet Forest recovery following pasture abandonment","NAC",1791.03,"NI",1791.02,"Initiation of post-disturbance cohort (natural)","NI",1791.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1797,"Pao","Premontane Wet, Transition to Basal, Atlantic Forest recovery following pasture abandonment","NAC",1797.03,"NI",1797.02,"Initiation of post-disturbance cohort (natural)","NI",1797.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1844,"Pifo Polylepis Forest","Forest recovery following 1958 landslide","NAC",1844.03,"1968",1844.02,"Initiation of post-disturbance cohort (natural)","1958",1844.01,"Landslide","100","1958",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1845,"Pifo Polylepis Forest","Forest recovery following harvest","NAC",1845.03,"1993",1845.02,"Initiation of post-disturbance cohort (natural)","1993",1845.01,"Harvest","100","1993",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1846,"Pifo Polylepis Forest","Forest recovery following pasture abandonment ","NAC",1846.03,"1983",1846.02,"Initiation of post-disturbance cohort (natural)","1983",1846.01,"Grazed","100","1981",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1850,"Piro","Tropical Wet Forest recovery following pasture abandonment","NAC",1850.03,"NI",1850.02,"Initiation of post-disturbance cohort (natural)","NI",1850.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1853,"Pitahaya","Tropical Dry Forest recovery following pasture abandonment","NAC",1853.03,"NI",1853.02,"Initiation of post-disturbance cohort (natural)","NI",1853.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1854,"Pocosol","Tropical Dry Forest recovery following pasture abandonment","NAC",1854.03,"NI",1854.02,"Initiation of post-disturbance cohort (natural)","NI",1854.01,"Grazed","100","NI",0,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1889,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.10y","NAC",1889.04,"1991",1889.03,"Initiation of post-disturbance cohort (natural)","1991",1889.02,"Grazed","100","1950",1889.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1891,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.13y","NAC",1891.04,"1988",1891.03,"Initiation of post-disturbance cohort (natural)","1988",1891.02,"Grazed","100","1950",1891.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1892,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.14y","NAC",1892.04,"1987",1892.03,"Initiation of post-disturbance cohort (natural)","1987",1892.02,"Grazed","100","1950",1892.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1893,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.15y","NAC",1893.04,"1986",1893.03,"Initiation of post-disturbance cohort (natural)","1986",1893.02,"Grazed","100","1950",1893.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1895,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.17y","NAC",1895.04,"1984",1895.03,"Initiation of post-disturbance cohort (natural)","1984",1895.02,"Grazed","100","1950",1895.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1896,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.18y","NAC",1896.04,"1983",1896.03,"Initiation of post-disturbance cohort (natural)","1983",1896.02,"Grazed","100","1950",1896.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1897,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.19y","NAC",1897.04,"1982",1897.03,"Initiation of post-disturbance cohort (natural)","1982",1897.02,"Grazed","100","1950",1897.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1900,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.21y","NAC",1900.04,"1980",1900.03,"Initiation of post-disturbance cohort (natural)","1980",1900.02,"Grazed","100","1950",1900.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1902,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.24y","NAC",1902.04,"1977",1902.03,"Initiation of post-disturbance cohort (natural)","1977",1902.02,"Grazed","100","1950",1902.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1904,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.27y","NAC",1904.04,"1974",1904.03,"Initiation of post-disturbance cohort (natural)","1974",1904.02,"Grazed","100","1950",1904.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
1905,"Porce II chronosequence 2","Forest recovery following agricultural abandonment.29y","NAC",1905.04,"1972",1905.03,"Initiation of post-disturbance cohort (natural)","1972",1905.02,"Grazed","100","1950",1905.01,0,0,NA,NA,NA,0,NA,NA,NA,0,0,0,0,0,0,0
