"history.ID","sites.sitename","plot.name","plot.area","event.sequence","date","date.loc","hist.cat","hist.type","est.regrowth.assumed.same.year","level","units","percent.mortality","hist.notes","plothistory.ID.v1","X","NEW_RECORD","GROA.site.ID","GROA.plot.ID"
570.02,"Culebra","Tropical Wet Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
570.03,"Culebra","Tropical Wet Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
640.01,"Deep Throat","Tropical Dry Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
640.02,"Deep Throat","Tropical Dry Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
640.03,"Deep Throat","Tropical Dry Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
665.01,"Divino","Tropical Moist Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
665.02,"Divino","Tropical Moist Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
665.03,"Divino","Tropical Moist Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
688.01,"Don Juan","Tropical Wet Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
688.02,"Don Juan","Tropical Wet Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
688.03,"Don Juan","Tropical Wet Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
693.01,"Dos Ases","Premontane Rain Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
693.02,"Dos Ases","Premontane Rain Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
693.03,"Dos Ases","Premontane Rain Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
694.01,"Downey","Tropical Moist Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
694.02,"Downey","Tropical Moist Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
694.03,"Downey","Tropical Moist Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
695.01,"Dubya","Tropical Moist Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
695.02,"Dubya","Tropical Moist Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
695.03,"Dubya","Tropical Moist Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
738.01,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.1-y","0.3",1,"1900",8.5,"Disturbance","Harvest",NA,NA,NA,"<100%","Ancient Maya used the Reserve 1500 years ago, but minimal post colonial land use, with only selective tree harvesting in late 1900s and early 1900s",1655,NA,FALSE,NA,NA
738.02,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.1-y","0.3",2,"2002",7,"Disturbance","Major storm",NA,NA,NA,"<100%","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1661,NA,FALSE,NA,NA
738.03,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.1-y","0.3",3,"2002",7,"Disturbance","Drought",NA,NA,NA,"100","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1666,NA,FALSE,NA,NA
738.04,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.1-y","0.3",4,"2002.161644",7,"Disturbance","Burned",NA,NA,NA,"100","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1671,NA,FALSE,NA,NA
738.05,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.1-y","0.3",5,"2002.161644",7,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,NA,1676,NA,FALSE,NA,NA
738.06,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.1-y","0.3",6,"2002.161644",7,"Establishment","Establishment of oldest trees","1",NA,NA,NA,NA,1681,NA,FALSE,NA,NA
739.01,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.14-y","0.3",1,"1900",8.5,"Disturbance","Harvest",NA,NA,NA,"<100%","Ancient Maya used the Reserve 1500 years ago, but minimal post colonial land use, with only selective tree harvesting in late 1900s and early 1900s",1658,NA,FALSE,NA,NA
739.02,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.14-y","0.3",2,"1989",7,"Disturbance","Major storm",NA,NA,NA,"<100%","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1664,NA,FALSE,NA,NA
739.03,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.14-y","0.3",3,"1989",7,"Disturbance","Drought",NA,NA,NA,"100","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1669,NA,FALSE,NA,NA
739.04,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.14-y","0.3",4,"1989.161644",7,"Disturbance","Burned",NA,NA,NA,"100","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1674,NA,FALSE,NA,NA
739.05,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.14-y","0.3",5,"1989.161644",7,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,NA,1679,NA,FALSE,NA,NA
739.06,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.14-y","0.3",6,"1989.161644",7,"Establishment","Establishment of oldest trees","1",NA,NA,NA,NA,1684,NA,FALSE,NA,NA
740.01,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.28-y","0.3",1,"1900",8.5,"Disturbance","Harvest",NA,NA,NA,"<100%","Ancient Maya used the Reserve 1500 years ago, but minimal post colonial land use, with only selective tree harvesting in late 1900s and early 1900s",1659,NA,FALSE,NA,NA
740.02,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.28-y","0.3",2,"1975",7,"Disturbance","Major storm",NA,NA,NA,"<100%","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1665,NA,FALSE,NA,NA
740.03,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.28-y","0.3",3,"1975",7,"Disturbance","Drought",NA,NA,NA,"100","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1670,NA,FALSE,NA,NA
740.04,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.28-y","0.3",4,"1975.161644",7,"Disturbance","Burned",NA,NA,NA,"100","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1675,NA,FALSE,NA,NA
740.05,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.28-y","0.3",5,"1975.161644",7,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,NA,1680,NA,FALSE,NA,NA
740.06,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.28-y","0.3",6,"1975.161644",7,"Establishment","Establishment of oldest trees","1",NA,NA,NA,NA,1685,NA,FALSE,NA,NA
741.01,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.4-y","0.3",1,"1900",8.5,"Disturbance","Harvest",NA,NA,NA,"<100%","Ancient Maya used the Reserve 1500 years ago, but minimal post colonial land use, with only selective tree harvesting in late 1900s and early 1900s",1656,NA,FALSE,NA,NA
741.02,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.4-y","0.3",2,"1999",7,"Disturbance","Major storm",NA,NA,NA,"<100%","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1662,NA,FALSE,NA,NA
741.03,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.4-y","0.3",3,"1999",7,"Disturbance","Drought",NA,NA,NA,"100","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1667,NA,FALSE,NA,NA
741.04,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.4-y","0.3",4,"1999.161644",7,"Disturbance","Burned",NA,NA,NA,"100","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1672,NA,FALSE,NA,NA
741.05,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.4-y","0.3",5,"1999.161644",7,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,NA,1677,NA,FALSE,NA,NA
741.06,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.4-y","0.3",6,"1999.161644",7,"Establishment","Establishment of oldest trees","1",NA,NA,NA,NA,1682,NA,FALSE,NA,NA
742.01,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.8-y","0.3",1,"1900",7,"Disturbance","Harvest",NA,NA,NA,"<100%","Ancient Maya used the Reserve 1500 years ago, but minimal post colonial land use, with only selective tree harvesting in late 1900s and early 1900s",1657,NA,FALSE,NA,NA
742.02,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.8-y","0.3",2,"1994",7,"Disturbance","Major storm",NA,NA,NA,"<100%","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1663,NA,FALSE,NA,NA
742.03,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.8-y","0.3",3,"1995",7,"Disturbance","Drought",NA,NA,NA,"100","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1668,NA,FALSE,NA,NA
742.04,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.8-y","0.3",4,"1995.161644",7,"Disturbance","Burned",NA,NA,NA,"100","severe fires during dry seasons (Jan-Apr) following hurricanes and seasonal droughts",1673,NA,FALSE,NA,NA
742.05,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.8-y","0.3",5,"1995.161644",7,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,NA,1678,NA,FALSE,NA,NA
742.06,"El Eden Ecological Reserve fire chronosequence","Forest recovery following fire.8-y","0.3",6,"1995.161644",7,"Establishment","Establishment of oldest trees","1",NA,NA,NA,NA,1683,NA,FALSE,NA,NA
752.01,"El Pozo","Tropical Dry Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
752.02,"El Pozo","Tropical Dry Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
752.03,"El Pozo","Tropical Dry Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
767.01,"El Tanque","Tropical Moist Forest recovery following pasture abandonment","NAC",1,"NI",9,"Disturbance","Grazed",NA,NA,NA,"100","History event derived from plot.name",NA,NA,FALSE,NA,NA
767.02,"El Tanque","Tropical Moist Forest recovery following pasture abandonment","NAC",2,"NI",9,"Regrowth","Initiation of post-disturbance cohort (natural)","0",NA,NA,NA,"History event derived from plot.name",NA,NA,FALSE,NA,NA
767.03,"El Tanque","Tropical Moist Forest recovery following pasture abandonment","NAC",3,"NI",9,"Establishment","Establishment of oldest trees","0",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
790.01,"Erastvere","Forest recovery following agricultural abandonment","NAC",1,"NAC",9,"Disturbance","Cultivation",NA,NA,NA,"100",NA,NA,NA,FALSE,NA,NA
790.02,"Erastvere","Forest recovery following agricultural abandonment","NAC",2,"1964",8,"Regrowth","Initiation of post-disturbance cohort (natural)","1",NA,NA,NA,NA,NA,NA,FALSE,NA,NA
