"site.ID","sites.sitename","network","alt.names","super.site","city","state","country","lat","lon","masl","geography.notes","mat","min.temp","max.temp","map","climate.notes","soil.texture","sand","silt","clay","soil.classification","soil.notes","hydrology.notes","site.notes","geographic.area","biogeog","Koeppen","FAO.ecozone","site.ID.v1","measurement.refs","site.ref","ref.notes","lacks.info.from.ori.pub","loaded.from","loaded.by","potential_duplicate_group","potential_duplicate_group_parsed","confirmed.unique","potential.duplicates.manual","duplicate.notes","NEW_RECORD","GROA.site.ID","OLD_RECORD"
100,"Bago Mountain swidden cultivation fallows chronosequence",NA,NA,"","Karen","Bago","Myanmar",18.875,95.891,"350",NA,"27","NAC","NAC","1900",NA,"NAC","NAC","NAC","NAC","Ultisol",NA,"NAC",NA,"53","IndoMalay","Aw","Tropical rainforest",385,"Chan_2013_eoam",NA,NA,NA,NA,NA,21,"1,2","0",NA,"need to return to two original refs",FALSE,NA,NA
2238,"Bago Mountain swidden cultivation fallows chronosequence",NA,NA,NA,"NAC","Bago","Myanmar",18.875,95.875,"350",NA,"27","NAC","NAC","1900",NA,"","NaN","NaN","NaN","Ultisol",NA,NA,NA,NA,NA,NA,NA,NA,"Chan_2013_eoam",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",21,"1",NA,NA,NA,TRUE,310,FALSE
1549,"S village Karen area swidden cultivation fallow chronosequence",NA,NA,"","Karen","Bago","Myanmar",18.866667,95.883333,"350",NA,"NAC","21.4","32.7","1966","Most of the rainfall occurs during the rainy season (May-Oct)","NAC","NAC","NAC","NAC","Ultisol",NA,"NAC",NA,"53","IndoMalay","Aw","Tropical rainforest",1232,"Fukushima_2007_rpof",NA,NA,NA,"Bonner_2013_amgc",NA,21,"1,2","0",NA,"need to return to two original refs",FALSE,NA,NA
2621,"S village Karen area swidden cultivation fallow chronosequence",NA,NA,NA,"NAC","Bago","Myanmar",18.866667,95.883333,"350",NA,"NAC","NAC","NAC","1966",NA,"","NaN","NaN","NaN","Ultisol",NA,NA,NA,NA,NA,NA,NA,NA,"Fukushima_2007_rpof",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",21,"2",NA,NA,NA,TRUE,3528,FALSE
101,"Baihe, Nanping",NA,NA,"","Nanping","Sichuan","China",33.25,103.77,"NAC",NA,"4","NAC","NAC","832",NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,"54","Palearctic","Dwb","Subtropical mountain system",NA,"Luo_1996_ponp",NA,"Liu_2014_htpa",NA,"Liu_2014_htpa","Maria",22,"1",NA,NA,"",FALSE,NA,NA
121,"Baozuo 3",NA,NA,"","Ruo'ergai","Sichuan","China",33.32,103.61,"NAC",NA,"3.5","NAC","NAC","811",NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,"54","Palearctic","Dwb","Subtropical mountain system",NA,"Luo_1996_ponp",NA,"Liu_2014_htpa",NA,"Liu_2014_htpa","Maria",22,"1",NA,NA,"",FALSE,NA,NA
465,"Dalu Picea, Abies 9",NA,NA,"","Nanping","Sichuan","China",33.3,103.75,"NAC",NA,"4","NAC","NAC","828",NA,"NAC","NAC","NAC","NAC","NAC",NA,NA,NA,"54","Palearctic","Dwb","Subtropical mountain system",NA,"Luo_1996_ponp",NA,"Liu_2014_htpa",NA,"Liu_2014_htpa","Maria",22,"1",NA,NA,"",FALSE,NA,NA
3591,"Nanping Sichuan 10",NA,NA,NA,"NAC","","China",33.3,103.58,"3200",NA,"7.8","NAC","NAC","600",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,"Guo_2014_part",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",22,"1",NA,NA,NA,TRUE,4456,FALSE
3577,"Nanping Sichuan 17",NA,NA,NA,"NAC","","China",33.25,103.63,"3200",NA,"7.8","NAC","NAC","600",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,"Guo_2014_part",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",22,"1",NA,NA,NA,TRUE,4463,FALSE
3587,"Nanping Sichuan 18",NA,NA,NA,"NAC","","China",33.28,103.63,"3200",NA,"7.8","NAC","NAC","600",NA,"","NaN","NaN","NaN","NAC",NA,NA,NA,NA,NA,NA,NA,NA,"Guo_2014_part",NA,NA,0,"[Cook-Patton database citation, in ForC format]","R script by Valentine Herrmann",22,"1",NA,NA,NA,TRUE,4464,FALSE
